Team Number,QT #1,QT #2,QT #3
24115,Register 1st Play,available after 1st play registration,available after 2nd play registration
24123,,,
24150,Register 1st Play,available after 1st play registration,available after 2nd play registration
24295,Register 1st Play,available after 1st play registration,available after 2nd play registration
24355,Register 1st Play,available after 1st play registration,available after 2nd play registration
24381,Register 1st Play,available after 1st play registration,available after 2nd play registration
24382,Register 1st Play,available after 1st play registration,available after 2nd play registration
24383,Register 1st Play,available after 1st play registration,available after 2nd play registration
24409,Register 1st Play,available after 1st play registration,available after 2nd play registration
24411,Register 1st Play,available after 1st play registration,available after 2nd play registration
24426,Register 1st Play,available after 1st play registration,available after 2nd play registration
24427,Register 1st Play,available after 1st play registration,available after 2nd play registration
24512,Register 1st Play,available after 1st play registration,available after 2nd play registration
24610,Register 1st Play,available after 1st play registration,available after 2nd play registration
24689,Register 1st Play,available after 1st play registration,available after 2nd play registration
